100%;Agent 1;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.
100%;Agent 2;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.
100%;Agent 3;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.
100%;Agent 4;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.
100%;Agent 5;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.
100%;Agent 6;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.
100%;Agent 7;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.
100%;Agent 8;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.
100%;Agent 9;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.
100%;Agent 10;N;N;N;Jca 2-2;.;.;.;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.
100%;Agent 11;S1;Jca 1-1;.;M1;S1;.;.;N;N;.;Jca 0-0;M1;.;.;S1;S1;S1;S1;Jca 2-2;.;.;M1;M1;M1;N;N;.;.;M1;M1;M1;M1;M1;.;.;Jca 0-0;S1;S1;S1;S1;.;.;M1;M1;M1;M1;N;.;.;Jca 0-0;Jca 0-0;Jca 0-0;Jca 0-0;M1;.;.;N;N;N;Jca 2-2;.;.;.
80%;Agent 1;M1;M1;M1;N;N;.;.;.;S1;N;.;.;.;.;M1;M1;M1;N;N;.;.;.;Jca 0-0;N;.;.;.;.;.;Jca 1-1;Jca 1-2;Jca 1-2;S1;.;.;N;Jca 2-2;.;Jca 0-0;Jca 1-2;.;.;M1;M1;Jca 0-0;.;.;Jca 1-2;Jca 1-2;N;.;.;.;.;.;.;M1;M1;M1;M1;S1;.;.
80%;Agent 2;.;S1;N;.;.;.;.;M1;M1;M1;N;N;.;.;.;Jca 0-0;N;.;.;.;.;.;Jca 1-1;Jca 1-2;Jca 1-2;S1;.;.;N;Jca 2-2;.;Jca 0-0;Jca 1-2;.;.;M1;M1;Jca 0-0;.;.;Jca 1-2;Jca 1-2;N;.;.;.;.;.;.;M1;M1;M1;M1;S1;.;.;M1;M1;M1;N;N;.;.
